单位id,用户id（uid）,在线时长（秒）
1727,79160303,260
1727,147024898,271104
1727,191963909,116006
1727,66006991,2208
1727,147022527,56326
1727,239252401,180
1727,103132229,272643
1727,147023139,64182
1727,103128844,137253
1727,132545297,1711
1727,234172804,46545
1727,191961561,212023
1727,188924270,440
1727,66019088,1473
1727,191963720,265306
1727,103130240,85026
1727,191961259,266370
1727,147022799,233173
1727,38214416,1356
1727,103130699,63578
1727,226738752,360
1727,147026162,108461
1727,103131030,189140
1727,121559081,180
1727,147023316,40061
1727,82622840,164177
1727,191963377,219955
1727,103130629,106800
1727,84535231,33721
1727,147025793,52837
1727,147022198,677444
1727,103128632,29355
1727,103130279,233284
1727,226739041,180
1727,82832468,18040
1727,191959996,5713
1727,147026746,258199
1727,78056629,7133
1727,147023475,501946
1727,191962050,426666
1727,234987104,236
1727,66022033,180
1727,103132042,43592
1727,121195970,282233
1727,239249960,180
1727,82129174,92836
1727,191960545,327950
1727,147025714,6337
1727,188925386,649
1727,191961806,4067
1727,64851604,254482
1727,82299884,153060
1727,73970801,4077
1727,84534605,25918
1727,73877685,906
1727,147115887,720
1727,177155663,180
1727,188926352,632
1727,103130528,74307
1727,58021606,1488
1727,147022079,378108
1727,188926753,180
1727,147025748,172052
1727,176870411,4428
1727,188922720,180
1727,103130267,180
1727,66022270,2856
1727,103128924,48993
1727,82300381,21310
1727,188924099,12876
1727,155625508,180
1727,82655222,72516
1727,191960688,220166
1727,191960267,1997
1727,84536141,30005
1727,147110019,168765
1727,188927032,29734
1727,103131578,9878
1727,147027334,381302
1727,239249392,180
1727,147023949,159323
1727,191963693,429744
1727,82832399,10047
1727,191962726,128685
1727,82832556,21711
1727,147113858,180
1727,78149422,84552
1727,103130871,74304
1727,147027127,150225
1727,66008864,879
1727,103129606,219652
1727,73702409,25105
1727,239251259,180
1727,82832751,18736
1727,191962274,863405
1727,105823564,1818
1727,84534432,23622
1727,108841093,48164
1727,84495544,329014
1727,66007029,2540
1727,103131113,29584
1727,147024670,817228
1727,147021964,77133
1727,66008359,9298
1727,147114605,360
1727,191962756,40181
1727,147024288,90241
1727,191962673,296830
1727,147115352,360
1727,84533444,32908
1727,103130419,253832
1727,147026062,315994
1727,188927061,45683
1727,104368075,148848
1727,155853153,2556
1727,191961950,188908
1727,147026124,38794
1727,154958548,283
1727,82250018,44767
1727,103127880,52961
1727,191964315,473149
1727,87268014,43329
1727,191962753,197306
1727,191963010,347862
1727,239243246,180
1727,234987346,29258
1727,68013042,7030
1727,191963378,95465
1727,82137296,2454
1727,66012196,1555
1727,191962985,188671
1727,121901135,2648
1727,46986790,861
1727,176868282,343643
1727,104493941,9498
1727,103131502,7211
1727,56196257,360
1727,147025104,761668
1727,103127342,45752
1727,147023528,140208
1727,147022412,268818
1727,82656577,116340
1727,191962337,167435
1727,191960442,36135
1727,147023266,416065
1727,191962612,250264
1727,155626349,3907
1727,66011370,516
1727,103129517,39256
1727,96351091,45332
1727,86452831,51429
1727,66010995,21616
1727,84535825,90006
1727,103127977,33007
1727,188926773,360
1727,147116173,180
1727,103130361,22190
1727,83924933,11529
1727,191959902,256097
1727,82195633,85260
1727,147022271,328389
1727,234985583,77863
1727,97370487,453665
1727,191961983,246995
1727,170225543,180
1727,191964004,211071
1727,191963203,221463
1727,81835058,30220
1727,66012078,379041
1727,188927116,180
1727,155623788,180
1727,124682274,3509
1727,103131226,41969
1727,191960130,618105
1727,82248282,23246
1727,147024769,91623
1727,191960875,146380
1727,91553758,23197
1727,147118083,180
1727,156184610,442982
1727,96550825,1377
1727,103129746,213243
1727,147026095,140119
1727,147027323,8932
1727,176675642,27684
1727,82300566,18511
1727,191963681,378241
1727,70542612,33592
1727,161510012,35222
1727,82128877,27301
1727,103132184,7940
1727,191963856,201438
1727,103129550,110171
1727,82248286,21042
1727,135867135,180
1727,191959791,107441
1727,174677788,3974
1727,239248244,643
1727,103129705,30424
1727,66021633,1444
1727,84533758,30824
1727,191964230,58507
1727,163205729,650
1727,234986012,180
1727,147113720,360
1727,239249085,180
1727,147024613,100819
1727,84535798,36137
1727,147111851,180
1727,103127866,151519
1727,191962306,651000
1727,103130586,23334
1727,191960096,387692
1727,103131389,71793
1727,66011399,8607
1727,234990752,180
1727,23827512,180
1727,191964071,113156
1727,82832082,21906
1727,62142805,1577
1727,147021726,67573
1727,234989550,180
1727,191963200,238082
1727,82689018,29885
1727,84535245,76388
1727,81434232,180
1727,103131876,151445
1727,191963965,937970
1727,188926032,6170
1727,176692306,1412
1727,82156431,29826
1727,82128854,58446
1727,58421215,30496
1727,234986834,62370
1727,103130725,61724
1727,239249765,1394
1727,103132176,24634
1727,103127893,91409
1727,103128716,1384
1727,147112482,4723
1727,103129933,140993
1727,103131860,107268
1727,191960406,60634
1727,103074656,113477
1727,90942984,180
1727,103131161,2676
1727,82656763,87389
1727,191963302,349690
1727,61231525,6514
1727,121901192,180
1727,155625283,360
1727,147022557,50998
1727,147023935,67442
1727,66006640,180
1727,82299949,14309
1727,188926982,17679
1727,83321261,151003
1727,147026193,37283
1727,162254888,180
1727,152331387,360
1727,147114396,180
1727,144652500,17076
1727,147110319,180
1727,103129765,13951
1727,191964118,145000
1727,191963688,3794
1727,234988937,16936
1727,121951564,97815
1727,191961724,108207
1727,188926650,180
1727,103128758,19365
1727,84533456,248060
1727,191962371,267804
1727,66011059,20154
1727,234989298,101745
1727,147024045,717010
1727,68590543,4058
1727,47666110,68751
1727,152331382,23766
1727,103131402,142368
1727,144651194,20876
1727,103129095,315628
1727,147022214,208137
1727,79396955,85738
1727,239248024,229
1727,103129501,70531
1727,120894835,263397
1727,191962435,38932
1727,147111128,180
1727,24816657,252
1727,82832417,30231
1727,234986164,180
1727,83917195,69571
1727,56813252,246
1727,103127916,30245
1727,191962089,76000
1727,103128737,37117
1727,66017719,360
1727,82348524,34542
1727,103129513,38101
1727,82832817,266660
1727,70457260,127651
1727,191960724,572351
1727,191964032,483673
1727,147026367,20977
1727,82348562,137698
1727,147023084,76479
1727,147025353,263862
1727,191962662,104364
1727,191962744,329017
1727,103128650,145952
1727,82300235,58391
1727,79156432,1456
1727,66011681,19733
1727,82832288,21785
1727,147025708,48652
1727,82832414,24092
1727,239248423,1651
1727,81739726,8530
1727,79712187,62246
1727,147023699,46738
1727,147026525,186874
1727,147025187,421384
1727,147021733,126098
1727,110013122,18393
1727,66021141,418454
1727,191963987,372100
1727,112233755,180
1727,191962069,445538
1727,66006954,90488
1727,234986612,180
1727,84535639,38521
1727,191961702,34449
1727,234990283,180
1727,147023453,26135
1727,82156241,52435
1727,191962620,120543
1727,103128813,80967
1727,121559032,540
1727,103131905,269212
1727,82156247,26905
1727,191960131,96187
1727,147026521,243336
1727,147024795,43909
1727,103132090,140035
1727,117937887,42746
1727,103129983,102783
1727,147024606,709285
1727,147027366,170950
1727,60782179,24799
1727,147023828,56534
1727,188924338,21260
1727,149186824,416975
1727,84535824,41009
1727,82832820,77532
1727,191962190,450724
1727,58227136,287
1727,147022135,173735
1727,96139213,4346
1727,234990248,180
1727,147116681,9832
1727,83526206,26994
1727,191959965,56871
1727,147024966,50162
1727,68495812,871
1727,191964266,785383
1727,147024516,42345
1727,188926967,39465
1727,82832824,11543
1727,103128027,8146
1727,87480550,859
1727,197396051,39493
1727,188923760,180
1727,103129218,649
1727,103127791,14016
1727,191960182,166103
1727,147024115,11926
1727,147022559,26688
1727,191960047,231573
